"search-number","evaluation","a*","b*","c*","d*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","1","-2","-15","-22","5","1","-2110.929544473563","2","-1519.2692680516313"
"1","4","1","-14","11","5","1","561.8500780128709","2","-1853.7199030620993"
"1","10","1","-13","11","5","1","609.7226701731531","2","-750.134870335375"
"1","14","1","-1","11","5","1","794.3873858662485","2","-1422.536015408792"
"1","24","1","-1","21","5","1","952.2172447392436","2","-2134.5354026448463"
"2","1","11","-5","8","9","1","-1301.9308348776485","2","-1071.818158736821"
"2","6","20","4","8","9","1","-132.81223808840298","2","-489.99342110631744"
"2","12","20","4","9","9","1","184.57782433131274","2","-899.1176131665309"
"2","23","11","4","9","9","1","252.72313920664044","2","-1766.8869202508956"
"2","27","-12","4","9","9","1","565.4350511101538","2","-786.9660598493222"
"3","1","-3","-8","-22","-21","1","-4165.987195830739","2","-3438.4521669305313"
"3","2","-3","-8","21","-13","1","-3556.090921336262","2","-2484.2413071075525"
"3","3","-4","-8","21","-13","1","-3050.3264974604817","2","-2713.9027429740468"
"3","5","-3","-8","-22","-14","1","-3035.183533624739","2","-3040.246989489105"
"3","6","2","-8","-22","-3","1","-1916.8701861524526","2","-1426.8680273549476"
"3","7","5","7","-22","-6","1","-1784.3635824835137","2","-2189.4118329690054"
"3","8","10","7","-22","-6","1","-1780.4634342196086","2","-2402.570466527014"
"3","11","-14","7","-22","-6","1","-1456.8951117633915","2","-1656.7499037789285"
"3","16","13","7","-22","-6","1","-1355.9766102091785","2","-2664.657802346851"
"3","29","13","4","-22","-6","1","-778.5267475180759","2","-1356.9102875344454"
"3","40","-11","4","-22","5","1","-649.6907321539102","2","-2002.8017082614315"
"4","1","-15","-15","7","-30","1","-5179.953519730859","2","-4429.452686901164"
"4","2","-15","-17","0","-30","1","-5123.802660880216","2","-4330.948636825112"
"4","4","-16","-17","0","-30","1","-3984.588313517447","2","-4221.773802313562"
"4","6","-16","-17","3","-30","1","-3336.1398671594807","2","-5131.401545455361"
"4","11","-16","15","3","-30","1","-3311.0078839251273","2","-4390.530966274215"
"4","14","15","15","3","-3","1","-995.6450569050728","2","-1637.304583868802"
