"search-number","evaluation","a*","b*","c*","d*","num-replicates","best-fitness-so-far","recheck-replications","best-fitness-rechecked"
"1","40","1","-1","21","5","1","952.2172447392436","2","-2134.5354026448463"
"2","40","-12","4","9","9","1","565.4350511101538","2","-786.9660598493222"
"3","40","-11","4","-22","5","1","-649.6907321539102","2","-2002.8017082614315"
"4","40","16","-9","-13","-3","1","701.8602551155898","2","-843.3308815759578"
"5","40","-13","11","-6","-9","1","187.86123686040878","2","-1584.2765127793084"
"6","40","0","10","3","-6","1","1097.8132218487954","2","-106.86260763745744"
"7","40","-11","0","19","-5","1","-495.42517287101055","2","-1337.0009159587207"
"8","40","-26","-2","0","3","1","749.8174049423958","2","-307.0558954309846"
"9","40","8","1","1","-20","1","638.1782807822783","2","-1928.9609462005933"
"10","40","0","-29","3","-17","1","-1367.3557592429065","2","-2789.4457935184964"
"11","40","8","-3","23","-8","1","67.64130767922893","2","-1828.2655503288067"
"12","40","5","10","-12","16","1","58.98328347278175","2","-1485.66762032858"
"13","40","25","-10","10","2","1","997.4122666860176","2","-705.096957590501"
"14","40","-3","10","4","11","1","522.2238503343237","2","-1139.552562362423"
"15","40","-2","-17","-6","-5","1","1714.5171711077896","2","-1177.1787260743668"
"16","40","10","17","15","-11","1","-427.99786798856485","2","-1077.311971519791"
"17","40","6","25","9","-10","1","-1097.9502205372114","2","-1601.757385482151"
"18","40","24","20","5","-2","1","712.7614205496179","2","-662.2743585339919"
"19","40","-6","2","5","3","1","808.47069960653","2","-267.03786193361236"
"20","40","6","20","9","6","1","183.69139876114036","2","-2156.53928963676"
"21","40","14","21","-14","-10","1","-607.0924267014966","2","-2134.952806298288"
"22","40","-23","3","-2","-10","1","696.7879887076276","2","-1025.7421532943465"
"23","40","-12","-9","-1","9","1","113.86241745590371","2","-1006.9289326476088"
"24","40","2","5","-6","0","1","1358.2002903370674","2","-1265.9878761495206"
"25","40","-7","-2","-2","-11","1","229.36047885521384","2","-230.69711988419493"
"26","40","-18","11","10","-4","1","87.62407982042635","2","-1270.9364804468823"
"27","40","-12","21","-19","5","1","-1168.3770349269003","2","-2980.2413074784076"
"28","40","-10","-5","27","3","1","-664.292220789677","2","-3487.797932062537"
"29","40","-8","-13","-21","8","1","-94.74446771839143","2","-2013.1889278203428"
"30","40","0","7","-13","7","1","418.5413675224647","2","-310.7319047156154"
"31","40","4","11","-4","11","1","-26.018586681325814","2","-60.54934072969502"
"32","40","-7","8","18","-25","1","-2360.132016254428","2","-3031.2171511592587"
"33","40","-5","5","19","-9","1","752.0925937825909","2","-1329.820544931723"
"34","40","30","-5","-8","-19","1","-844.874984040224","2","-2542.215015280838"
"35","40","-4","-7","11","-5","1","773.5882175315926","2","-456.0642782037685"
"36","40","18","5","-14","8","1","371.14027921298566","2","-1735.894961053548"
"37","40","11","-13","-5","-2","1","622.0143412491825","2","-683.6078659946991"
"38","40","-11","-7","-1","-21","1","-499.03020217593917","2","-1508.560208588478"
"39","40","15","4","8","1","1","1543.4430334207134","2","-529.7629395390659"
"40","40","25","10","0","18","1","-697.7700157001955","2","-2629.2371196491713"
"41","40","14","13","1","-4","1","560.5678590768287","2","-405.1608825550745"
"42","40","16","-22","-9","-3","1","-343.69266974938887","2","-1509.9094911813104"
"43","40","2","15","6","4","1","300.3740602667241","2","-744.2756442352327"
"44","40","-23","3","0","2","1","1344.5691073498097","2","-915.8158231799104"
"45","40","26","-11","16","8","1","-879.4748994412812","2","-1419.5729400085952"
"46","40","-7","-11","-5","8","1","2066.5094482088243","2","101.52640079317615"
"47","40","29","10","-3","-2","1","909.7692507738254","2","-1296.3529727475823"
"48","40","-21","-13","-14","-6","1","-727.9693669924288","2","-1288.3760961666767"
"49","40","-15","-4","7","-18","1","-525.8667145799332","2","-1128.1914555130554"
"50","40","-3","10","5","8","1","429.28347025333323","2","-1417.191512383682"
