"search-number","evaluation","a*","b*","c*","d*","fitness","num-replicates","best-fitness-so-far","best-fitness-rechecked"
"1","1","-2","-15","-22","5","-2110.929544473563","1","-2110.929544473563","-1519.2692680516313"
"1","2","-2","-15","-22","10","-3371.9603092478746","1","-2110.929544473563","-1519.2692680516313"
"1","3","-2","-15","-22","4","-2917.008546340004","1","-2110.929544473563","-1519.2692680516313"
"1","4","1","-14","11","5","561.8500780128709","1","561.8500780128709","-1853.7199030620993"
"1","5","1","-14","-12","5","-412.75385702227027","1","561.8500780128709","-1853.7199030620993"
"1","6","1","-14","11","-6","-468.1080387360571","1","561.8500780128709","-1853.7199030620993"
"1","7","0","-13","11","5","-435.1023364754225","1","561.8500780128709","-1853.7199030620993"
"1","8","1","-14","-12","5","-2156.4454514338613","1","561.8500780128709","-1853.7199030620993"
"1","9","1","-14","10","5","-1116.6880879636917","1","561.8500780128709","-1853.7199030620993"
"1","10","1","-13","11","5","609.7226701731531","1","609.7226701731531","-750.134870335375"
"1","11","1","-13","10","6","-1702.1345015685783","1","609.7226701731531","-750.134870335375"
"1","12","-2","-13","11","5","-337.42844626761087","1","609.7226701731531","-750.134870335375"
"1","13","1","12","8","5","-453.16828310771405","1","609.7226701731531","-750.134870335375"
"1","14","1","-1","11","5","794.3873858662485","1","794.3873858662485","-1422.536015408792"
"1","15","14","-9","-12","5","-252.84963456297817","1","794.3873858662485","-1422.536015408792"
"1","16","1","-4","11","5","228.0271852201097","1","794.3873858662485","-1422.536015408792"
"1","17","0","-1","11","5","226.8355909739463","1","794.3873858662485","-1422.536015408792"
"1","18","14","0","11","6","-1083.1561765646209","1","794.3873858662485","-1422.536015408792"
"1","19","30","-1","21","5","-2454.7258582531977","1","794.3873858662485","-1422.536015408792"
"1","20","1","32","11","-6","-1942.3564180935537","1","794.3873858662485","-1422.536015408792"
"1","21","1","-1","11","10","614.9325754109959","1","794.3873858662485","-1422.536015408792"
"1","22","30","-1","11","2","-2482.631142458925","1","794.3873858662485","-1422.536015408792"
"1","23","1","-2","11","5","506.64047715819606","1","794.3873858662485","-1422.536015408792"
"1","24","1","-1","21","5","952.2172447392436","1","952.2172447392436","-2134.5354026448463"
"1","25","1","-2","21","5","-568.8777071311454","1","952.2172447392436","-2134.5354026448463"
"1","26","0","-1","21","5","-2500.874413833155","1","952.2172447392436","-2134.5354026448463"
"1","27","1","-1","21","4","-3257.1343165086596","1","952.2172447392436","-2134.5354026448463"
"1","28","-2","-4","24","5","-1530.0706693193551","1","952.2172447392436","-2134.5354026448463"
"1","29","1","-2","21","-6","-1638.816420552459","1","952.2172447392436","-2134.5354026448463"
"1","30","1","0","21","5","-3606.4216692740697","1","952.2172447392436","-2134.5354026448463"
"1","31","1","-1","21","6","-420.8419267650793","1","952.2172447392436","-2134.5354026448463"
"1","32","14","-1","20","-28","-3991.9592655491206","1","952.2172447392436","-2134.5354026448463"
"1","33","1","-1","4","5","161.84406657607627","1","952.2172447392436","-2134.5354026448463"
"1","34","2","-4","21","10","-1983.476418250477","1","952.2172447392436","-2134.5354026448463"
"1","35","30","-8","11","5","-331.39835922042334","1","952.2172447392436","-2134.5354026448463"
"1","36","6","-1","21","5","-1423.8590492104602","1","952.2172447392436","-2134.5354026448463"
"1","37","0","-1","21","10","-478.46351003745076","1","952.2172447392436","-2134.5354026448463"
"1","38","1","-1","21","2","-204.72121736638996","1","952.2172447392436","-2134.5354026448463"
"1","39","1","-1","11","-3","-353.85535546273525","1","952.2172447392436","-2134.5354026448463"
"1","40","1","-4","21","5","-2432.1002385989677","1","952.2172447392436","-2134.5354026448463"
"2","1","11","-5","8","9","-1301.9308348776485","1","-1301.9308348776485","-1071.818158736821"
"2","2","11","-5","8","25","-4022.6904974452746","1","-1301.9308348776485","-1071.818158736821"
"2","3","-12","-5","8","9","-1656.184269520022","1","-1301.9308348776485","-1071.818158736821"
"2","4","11","-4","8","9","-1353.2004367794057","1","-1301.9308348776485","-1071.818158736821"
"2","5","11","-8","8","9","-1677.360857489275","1","-1301.9308348776485","-1071.818158736821"
"2","6","20","4","8","9","-132.81223808840298","1","-132.81223808840298","-489.99342110631744"
"2","7","20","4","8","6","-1720.0215784473776","1","-132.81223808840298","-489.99342110631744"
"2","8","20","4","11","9","-361.9942038419691","1","-132.81223808840298","-489.99342110631744"
"2","9","20","3","8","9","-1954.1249137736081","1","-132.81223808840298","-489.99342110631744"
"2","10","21","-5","8","9","-1958.506838446846","1","-132.81223808840298","-489.99342110631744"
"2","11","21","4","8","9","-486.51722768083704","1","-132.81223808840298","-489.99342110631744"
"2","12","20","4","9","9","184.57782433131274","1","184.57782433131274","-899.1176131665309"
"2","13","-22","4","9","9","-747.6680165688622","1","184.57782433131274","-899.1176131665309"
"2","14","-21","4","9","9","-788.2777255087676","1","184.57782433131274","-899.1176131665309"
"2","15","11","7","9","9","-1119.312404038049","1","184.57782433131274","-899.1176131665309"
"2","16","20","11","9","9","-1146.141742335132","1","184.57782433131274","-899.1176131665309"
"2","17","20","4","9","-11","-84.01860749180719","1","184.57782433131274","-899.1176131665309"
"2","18","21","4","10","9","-243.6222815711401","1","184.57782433131274","-899.1176131665309"
"2","19","27","4","-9","9","-1461.4091632863958","1","184.57782433131274","-899.1176131665309"
"2","20","24","4","22","14","-3210.8495254786785","1","184.57782433131274","-899.1176131665309"
"2","21","20","28","9","14","-3562.695576049279","1","184.57782433131274","-899.1176131665309"
"2","22","20","5","9","8","-1126.3928041338922","1","184.57782433131274","-899.1176131665309"
"2","23","11","4","9","9","252.72313920664044","1","252.72313920664044","-1766.8869202508956"
"2","24","10","3","-10","9","-1720.5523410781684","1","252.72313920664044","-1766.8869202508956"
"2","25","11","3","14","8","-612.8763883959025","1","252.72313920664044","-1766.8869202508956"
"2","26","11","11","9","9","-491.2025927566135","1","252.72313920664044","-1766.8869202508956"
"2","27","-12","4","9","9","565.4350511101538","1","565.4350511101538","-786.9660598493222"
"2","28","-12","4","14","9","259.4282748949802","1","565.4350511101538","-786.9660598493222"
"2","29","-12","7","9","9","358.02267382608034","1","565.4350511101538","-786.9660598493222"
"2","30","-12","-5","9","9","-2164.239975719691","1","565.4350511101538","-786.9660598493222"
"2","31","-12","4","6","9","307.87982715078397","1","565.4350511101538","-786.9660598493222"
"2","32","-5","4","14","-10","-832.1833316017838","1","565.4350511101538","-786.9660598493222"
"2","33","-12","11","9","9","-458.48714524690786","1","565.4350511101538","-786.9660598493222"
"2","34","-12","27","9","9","-2398.8217530862735","1","565.4350511101538","-786.9660598493222"
"2","35","-11","4","-10","9","384.73485015136293","1","565.4350511101538","-786.9660598493222"
"2","36","-12","-5","9","9","128.23435032752388","1","565.4350511101538","-786.9660598493222"
"2","37","-12","4","-10","9","-1432.0058255125448","1","565.4350511101538","-786.9660598493222"
"2","38","-12","28","9","9","-2326.352917824388","1","565.4350511101538","-786.9660598493222"
"2","39","-12","4","10","9","-1134.817329588742","1","565.4350511101538","-786.9660598493222"
"2","40","-12","4","6","6","-431.61880726023895","1","565.4350511101538","-786.9660598493222"
"3","1","-3","-8","-22","-21","-4165.987195830739","1","-4165.987195830739","-3438.4521669305313"
"3","2","-3","-8","21","-13","-3556.090921336262","1","-3556.090921336262","-2484.2413071075525"
"3","3","-4","-8","21","-13","-3050.3264974604817","1","-3050.3264974604817","-2713.9027429740468"
"3","4","-4","-5","20","-20","-5378.831135807104","1","-3050.3264974604817","-2713.9027429740468"
"3","5","-3","-8","-22","-14","-3035.183533624739","1","-3035.183533624739","-3040.246989489105"
"3","6","2","-8","-22","-3","-1916.8701861524526","1","-1916.8701861524526","-1426.8680273549476"
"3","7","5","7","-22","-6","-1784.3635824835137","1","-1784.3635824835137","-2189.4118329690054"
"3","8","10","7","-22","-6","-1780.4634342196086","1","-1780.4634342196086","-2402.570466527014"
"3","9","-6","7","-22","-6","-2464.735606118418","1","-1780.4634342196086","-2402.570466527014"
