"search-number","evaluation","a*","b*","c*","d*","num-replicates","best-fitness-so-far"
"1","1","19","15","-9","-17","1","-2210"
"1","2","12","8","-9","-17","1","-1671"
"1","13","12","8","-9","16","1","-1539"
"1","14","12","8","8","16","1","-1488"
"1","15","12","8","8","15","1","-1364"
"1","28","15","8","8","0","1","-545"
"1","36","15","8","7","-1","1","-504"
"1","38","0","-9","7","-1","1","-313"
"1","44","0","-9","6","-1","1","-274"
"1","45","0","8","6","-1","1","-240"
"1","50","1","8","6","0","1","-237"
"1","57","1","7","6","0","1","-207"
"1","68","1","6","6","0","1","-181"
"1","78","1","5","-3","0","1","-78"
"1","79","2","5","2","0","1","-66"
"1","80","2","5","1","0","1","-57"
"1","91","2","4","-2","0","1","-48"
"1","97","2","4","-1","0","1","-39"
"1","101","2","3","-1","0","1","-25"
"1","106","1","3","-1","0","1","-22"
"1","119","0","3","-1","0","1","-21"
"1","129","0","3","0","0","1","-18"
"1","141","1","2","0","0","1","-9"
"1","144","0","2","0","0","1","-8"
"1","159","-2","1","0","0","1","-6"
"1","161","-2","0","0","0","1","-4"
"1","190","-1","0","0","0","1","-1"
"1","210","0","0","0","0","1","0"
"2","1","-21","-19","27","26","1","-6054"
"2","2","-21","-19","20","26","1","-5067"
"2","5","-24","-19","20","25","1","-4998"
"2","6","-24","17","20","25","1","-4854"
"2","7","-24","17","11","25","1","-4017"
"2","8","-9","17","11","25","1","-3522"
"2","14","-9","16","10","25","1","-3393"
"2","16","8","15","10","25","1","-3314"
"2","18","8","15","10","23","1","-2930"
"2","19","8","-1","10","23","1","-2482"
"2","20","7","-1","10","23","1","-2467"
"2","22","0","-1","10","23","1","-2418"
"2","25","1","-1","10","17","1","-1459"
"2","33","-2","-1","10","-2","1","-322"
"2","34","-2","-1","8","-2","1","-214"
"2","38","-1","0","8","-2","1","-209"
"2","39","-1","0","8","-1","1","-197"
"2","40","-1","0","7","-1","1","-152"
"2","41","0","0","7","-1","1","-151"
"2","50","0","-1","7","0","1","-149"
"2","52","0","0","7","0","1","-147"
"2","61","0","-1","4","-1","1","-54"
"2","85","-3","0","3","-1","1","-40"
"2","86","2","0","3","-1","1","-35"
"2","90","1","0","0","-1","1","-5"
"2","102","1","0","0","0","1","-1"
"2","139","0","0","0","0","1","0"
"3","1","2","-25","-22","-32","1","-6802"
"3","2","2","-25","-11","-32","1","-5713"
"3","3","13","28","-11","-1","1","-2104"
"3","8","14","28","10","-1","1","-2068"
"3","15","14","22","10","-1","1","-1468"
"3","16","14","22","10","0","1","-1464"
"3","26","14","10","10","0","1","-696"
"3","33","9","10","10","0","1","-581"
"3","34","14","5","10","0","1","-546"
"3","37","14","5","9","0","1","-489"
"3","38","14","1","9","0","1","-441"
"3","48","13","1","9","0","1","-414"
"3","60","12","1","9","0","1","-389"
"3","67","3","1","9","0","1","-254"
"3","70","1","1","9","-1","1","-250"
"3","75","1","1","6","-1","1","-115"
"3","83","1","1","1","0","1","-6"
"3","94","0","1","1","0","1","-5"
"3","214","0","0","1","0","1","-3"
"3","221","0","0","0","0","1","0"
"4","1","-18","16","-2","10","1","-1248"
"4","5","16","16","-2","10","1","-1180"
"4","13","19","16","-2","4","1","-949"
"4","15","19","15","-2","4","1","-887"
"4","22","19","8","-1","-5","1","-592"
"4","28","19","8","-1","4","1","-556"
"4","34","19","7","-1","4","1","-526"
"4","35","19","7","0","4","1","-523"
"4","37","12","6","0","4","1","-280"
"4","44","12","1","0","4","1","-210"
"4","46","11","1","0","4","1","-187"
"4","66","12","1","0","3","1","-182"
"4","76","12","1","0","2","1","-162"
"4","81","11","1","0","2","1","-139"
"4","82","4","1","0","2","1","-34"
"4","93","4","0","0","2","1","-32"
"4","116","4","0","0","0","1","-16"
"4","165","3","0","1","0","1","-12"
"4","173","2","0","1","0","1","-7"
"4","184","2","0","0","0","1","-4"
"4","207","1","0","0","0","1","-1"
"4","210","0","0","0","0","1","0"
"5","1","23","-19","23","8","1","-3094"
"5","5","-24","-19","-18","-7","1","-2466"
"5","7","-17","-19","-18","-7","1","-2179"
"5","8","16","-19","-18","-7","1","-2146"
"5","13","15","-19","17","-7","1","-2010"
"5","14","15","18","17","-7","1","-1936"
"5","17","15","18","-18","1","1","-1849"
"5","19","16","13","-18","1","1","-1570"
"5","21","16","2","-18","1","1","-1240"
"5","24","-17","2","17","1","1","-1168"
"5","40","-17","2","16","-1","1","-1069"
"5","74","16","-2","16","-1","1","-1036"
"5","75","15","-2","16","-1","1","-1005"
"5","79","15","-2","16","0","1","-1001"
"5","83","8","-2","16","3","1","-876"
"5","85","8","1","16","3","1","-870"
"5","93","7","1","16","3","1","-855"
"5","96","7","0","16","0","1","-817"
"5","102","7","0","15","3","1","-760"
"5","112","6","0","15","3","1","-747"
"5","114","6","0","8","-4","1","-292"
"5","118","-7","-1","6","-4","1","-223"
"5","120","-7","-2","6","-1","1","-169"
"5","125","6","-2","6","0","1","-152"
"5","126","5","1","5","0","1","-102"
"5","137","4","1","5","0","1","-93"
"5","139","4","1","2","0","1","-30"
"5","145","3","1","2","0","1","-23"
"5","146","3","0","2","0","1","-21"
"5","159","3","0","1","0","1","-12"
"5","160","0","0","1","0","1","-3"
"5","192","0","0","0","0","1","0"
